OLD Site,REF LOC_ID,New Site
AMR0001,D_AMR0001,
AMR0003,D_AMR0003,ANC0003
AMR0004,D_AMR0004,ANC0004
AMR0005,D_AMR0005,ANC0005
AMR0006,D_AMR0006,ANC0006
AMR0007,D_AMR0007,ANC0007
AMR0008,D_AMR0008,ANC0008
AMR0009,D_AMR0009,ANC0009
AMR0011,D_AMR0011,ANC0011
AMR0015,D_AMR0015,
AMR0016,D_AMR0016,ANC0016
AMR0017,D_AMR0017,ANC0017
AMR0020,D_AMR0020,ANC0020
AMR0021,D_AMR0021,ANC0021
AMR0026,D_AMR0026,ANC0026
AMR0029,D_AMR0029,ANC0029
AMR0032,D_AMR0032,ANC0032
AMR0034,D_AMR0034,ANC0034
AMR0038,D_AMR0038,ANC0038
AMR0040,D_AMR0040,ANC0040
AMR0041,D_AMR0041,ANC0041
AMR0042,D_AMR0042,ANC0042
AMR0043,D_AMR0043,ANC0043
AMR0044,D_AMR0044,ANC0044
AMR0045,D_AMR0045,ANC0045
AMR0046,D_AMR0046,ANC0046
AMR0048,D_AMR0048,ANC0048
AMR0049,D_AMR0049,ANC0049
AMR0051,D_AMR0051,ANC0051
AMR0052,D_AMR0052,ANC0052
AMR0053,D_AMR0053,ANC0053
AMR0056,D_AMR0056,ANC0056
AMR0057,D_AMR0057,ANC0057
AMR0058,D_AMR0058,ANC0058
AMR0060,D_AMR0060,ANC0060
AMR0064,D_AMR0064,ANC0064
AMR0066,D_AMR0066,ANC0066
AMR0068,D_AMR0068,ANC0068
AMR0069,D_AMR0069,ANC0069
AMR0072,D_AMR0072,ANC0072
AMR0079,D_AMR0079,ANC0079
AMR0080,D_AMR0080,ANC0080
AMR0081,D_AMR0081,ANC0081
AMR0082,D_AMR0082,ANC0082
AMR0083,D_AMR0083,ANC0083
AMR0084,D_AMR0084,ANC0084
AMR0085,D_AMR0085,
AMR0086,D_AMR0086,
AMR0087,D_AMR0087,
AMR0088,D_AMR0088,
AMR0089,D_AMR0089,
AMR0090,D_AMR0090,
ANC0010,D_ANC0010,ANC0010
ANC0012,D_ANC0012,ANC0012
ANC0013,D_ANC0013,ANC0013
ANC0014,D_ANC0014,ANC0014
ANC0018,D_ANC0018,ANC0018
ANC0019,D_ANC0019,ANC0019
ANC0022,D_ANC0022,ANC0022
ANC0023,D_ANC0023,ANC0023
ANC0024,D_ANC0024,ANC0024
ANC0025,D_ANC0025,ANC0025
ANC0027,D_ANC0027,ANC0027
ANC0028,D_ANC0028,ANC0028
ANC0030,D_ANC0030,ANC0030
ANC0031,D_ANC0031,ANC0031
ANC0033,D_ANC0033,ANC0033
ANC0047,D_ANC0047,ANC0047
ANC0059,D_ANC0059,ANC0059
ANC0065,D_ANC0065,ANC0065
ANC0067,D_ANC0067,ANC0067
ANC0070,D_ANC0070,ANC0070
ANC0071,D_ANC0071,ANC0071
ANC0073,D_ANC0073,ANC0073
ANC0074,D_ANC0074,ANC0074
ANC0076,D_ANC0076,ANC0076
ANC0077,D_ANC0077,ANC0077
ANC0078,D_ANC0078,ANC0078
ANC0737,T_ANC0737,
ANC1228,T_ANC1228,
ANC1246,T_ANC1246,
ANC1312,T_ANC1312,
ANC1601,T_ANC1601,
ANC1602,T_ANC1602,
ANC1603,T_ANC1603,
ANC1606,T_ANC1606,
ANC1607,T_ANC1607,
ANC1609,T_ANC1609,
ANC1804,T_ANC1804,
ANC1900,T_ANC1900,
ANC1901,T_ANC1901,
ANC1905,T_ANC1905,
ANC3132,T_ANC3132,
ANC3141,T_ANC3141,
ANC6403,T_ANC6403,
ANC6404,T_ANC6404,
ANC6405,T_ANC6405,
ANC6501,T_ANC6501,
ANC6502,T_ANC6502,
ANC6503,T_ANC6503,
ANC6504,T_ANC6504,
ANC6505,T_ANC6505,
ANC6506,T_ANC6506,
ANC6507,T_ANC6507,
ANC6508,T_ANC6508,
ANC6509,T_ANC6509,
ANC6510,T_ANC6510,
ANC6511,T_ANC6511,
ANC6512,T_ANC6512,
ANC6513,T_ANC6513,
ANC6550,T_ANC6550,
ANC6551,T_ANC6551,
ANC6552,T_ANC6552,
ANC6553,T_ANC6553,
ANC6700,T_ANC6700,
ANC6701,T_ANC6701,
ANC6702,T_ANC6702,
ANC6704,T_ANC6704,
ANC6705,T_ANC6705,
ANC6706,T_ANC6706,
ANC6707,T_ANC6707,
ANC6708,T_ANC6708,
ANC6709,T_ANC6709,
ANC6710,T_ANC6710,
ANC6711,T_ANC6711,
ANC6712,T_ANC6712,
ANC6713,T_ANC6713,
ANC6714,T_ANC6714,
ANC6715,T_ANC6715,
ANC6717,T_ANC6717,
ANC6718,T_ANC6718,
ANC6719,T_ANC6719,
ANC6720,T_ANC6720,
ANC6721,T_ANC6721,
ANC6723,T_ANC6723,
ANC6724,T_ANC6724,
ANC6725,T_ANC6725,
ANC6726,T_ANC6726,
ANC6727,T_ANC6727,
ANC6728,T_ANC6728,
ANC6729,T_ANC6729,
ANC6750,T_ANC6750,
ANC7101,T_ANC7101,
ANC7105,T_ANC7105,
ANC7106,T_ANC7106,
ANC7107,T_ANC7107,
ANC7108,T_ANC7108,
ANC7110,T_ANC7110,
ANC7111,T_ANC7111,
ANC7112,T_ANC7112,
ANC7113,T_ANC7113,
ANC7114,T_ANC7114,
ANC7115,T_ANC7115,
ANC7116,T_ANC7116,
ANC7117,T_ANC7117,
ANC7118,T_ANC7118,
ANC7119,T_ANC7119,
ANC7120,T_ANC7120,
ANC7121,T_ANC7121,
ANC7122,T_ANC7122,
ANC7123,T_ANC7123,
ANC7124,T_ANC7124,
ANC7125,T_ANC7125,
ANC7126,T_ANC7126,
ANC7127,T_ANC7127,
ANC7128,T_ANC7128,
ANC7129,T_ANC7129,
ANC7130,T_ANC7130,
ANC7131,T_ANC7131,
ANC7132,T_ANC7132,
ANC7133,T_ANC7133,
ANC7134,T_ANC7134,
